item_id,lens,form_variant,q_num,sub_dimension,question_text,item_type,score_max,weight_in_subdim,cross_lens_construct,notes,standalone_indicator
TR-Q1,Translation Team,Validation,1,Translation Process & Brief,Does your team have a translation brief or plan that defines what kind of translation you are aiming for?,ordinal-scored,100,1,translation-brief-alignment,Brief sub-dim merged into Process per 2026-05-11 decision.,
TR-Q2,Translation Team,Validation,2,Translation Process & Brief,"If your team has a brief, what type of translation does it describe?",descriptive,,1,translation-brief-alignment,"Descriptive — captures translation type (filter, not score). Triangulates with CHIP/CHCP/CHDL-Q1.",
TR-Q3,Translation Team,Validation,3,Translation Process & Brief,"Before drafting, what does your team do to understand the meaning of the passage?",ordinal-scored,100,1,,,
TR-Q4,Translation Team,Validation,4,Translation Process & Brief,What exegetical resources does your team use regularly?,multi-capability-scored,100,1,,Multi-select capability. Weights reflect exegetical depth.,
TR-Q5,Translation Team,Validation,5,Translation Process & Brief,How does your team check draft work internally before moving to external review?,ordinal-scored,100,1,,,
TR-Q6,Translation Team,Validation,6,Translation Process & Brief,How does your team gather feedback from community members on draft translations?,ordinal-scored,100,1,,Middle three options are different approaches at roughly equivalent quality — scored equal.,
TR-Q7,Translation Team,Validation,7,Translation Process & Brief,How does your team capture and incorporate feedback from reviewers and community testing?,ordinal-scored,100,1,,,
TR-Q8,Translation Team,Validation,8,Translation Process & Brief,How many rounds of revision does a typical passage go through before being considered complete?,ordinal-scored,100,1,,,
TR-Q9,Translation Team,Validation,9,Understanding the Source,How confident is your team in understanding the meaning of the original text for the passages you have translated?,ordinal-scored,100,1,source-understanding,,
TR-Q10,Translation Team,Validation,10,Understanding the Source,"When your team encounters a difficult exegetical question, what do you do?",multi-capability-scored,100,1,,,
TR-Q11,Translation Team,Validation,11,External Review,Is there someone who was not closely involved in the drafting who reviews your translation work?,ordinal-scored,100,1,,,
TR-Q12,Translation Team,Validation,12,External Review,Who is typically the person outside the team who reviews your work?,multi-capability-scored,100,1,,Multi-select capability. Trained consultant weighted highest.,
TR-Q13,Translation Team,Validation,13,Consistency,How does your team manage consistency of key terms and proper names across your translation?,ordinal-scored,100,1,consistency,,
TR-Q14,Translation Team,Validation,14,Consistency,What tools or software does your team use to help manage consistency?,multi-capability-scored,100,1,,Multi-select capability. 'We don't use any' is exclusion — sets score to 0.,
TR-Q15,Translation Team,Validation,15,Governance,How is your translation project managed?,ordinal-scored,100,1,,,
TR-Q16,Translation Team,Validation,16,Governance,Who provides oversight or accountability for the quality of your translation?,multi-capability-scored,100,1,,Multi-select capability. 'No one outside team' is exclusion.,
TR-Q17,Translation Team,Validation,17,Governance,How does your team decide when a translated passage or book is finished and ready for publication?,ordinal-scored,100,1,,,
CW-Q1,Community,Written,1,Understandable,"As a group, how would we describe how easy or difficult this translation is to understand?",ordinal-scored,100,1,clarity-naturalness,,
CW-Q2,Community,Written,2,Understandable,"Where we find it difficult, what makes it hard?",multi-problem-scored,100,1,,Multi-select problem. Each checked subtracts from 100. Total 4 problem options.,
CW-Q3,Community,Written,3,Understandable,How does this translation sound to us?,ordinal-scored,100,1,clarity-naturalness,,
CW-Q4,Community,Written,4,Appealing — Written,"As a group, how would we describe the overall appearance of this translation?",ordinal-scored,100,1,appeal,,
CW-Q5,Community,Written,5,Appealing — Written,"Looking inside, at the pages, format, headings, and pictures, what do we think?",ordinal-scored,100,1,appeal,,
CW-Q6,Community,Written,6,Appealing — Written,"If you have concerns, what would you improve?",open-text,,1,,"Open text — theme-code, do not score.",
CW-Q7,Community,Written,7,Impactful,"As a group, how often do we use this translation?",ordinal-scored,100,1,,,
CW-Q8,Community,Written,8,Impactful,Where do we use this translation?,multi-capability-scored,100,1,impact-use,Multi-select capability — places of use. 'We don't use it' is exclusion.,
CW-Q9,Community,Written,9,Impactful,"For those who use the Scripture regularly, how does it impact our emotions?",ordinal-scored,100,1,impact-use,,
CW-Q10,Community,Written,10,Impactful,"For those who use the Scripture regularly, how does it impact our behavior or activities?",ordinal-scored,100,1,impact-use,,
CW-Q11,Community,Written,11,Trust / Open Feedback,"As a group, do we trust this translation?",ordinal-scored,100,1,trust-readiness,,
CW-Q12,Community,Written,12,Trust / Open Feedback,"If we could improve anything about this translation, what would it be?",open-text,,1,,"Open text — theme-code, do not score.",
CW-Q13,Community,Written,13,Trust / Open Feedback,Is there anything else we would like to share about this translation?,open-text,,1,,"Open text — theme-code, do not score.",
CA-Q1,Community,Audio,1,Understandable,"As a group, how would we describe how easy or difficult this translation is to understand?",ordinal-scored,100,1,clarity-naturalness,,
CA-Q2,Community,Audio,2,Understandable,"Where we find it difficult, what makes it hard?",multi-problem-scored,100,1,,Multi-select problem. Each checked subtracts from 100. Total 4 problem options.,
CA-Q3,Community,Audio,3,Understandable,How does this translation sound to us?,ordinal-scored,100,1,clarity-naturalness,,
CA-Q4,Community,Audio,4,Appealing — Audio,How do we like the sound of the voice of the person recording?,ordinal-scored,100,1,appeal,,
CA-Q5,Community,Audio,5,Appealing — Audio,"If there are additional sounds (background music, sound effects, multiple voices), how do we like them?",ordinal-scored,100,1,appeal,,
CA-Q6,Community,Audio,6,Appealing — Audio,"If you have concerns, what would you improve?",open-text,,1,,"Open text — theme-code, do not score.",
CA-Q7,Community,Audio,7,Impactful,"As a group, how often do we use this translation?",ordinal-scored,100,1,,,
CA-Q8,Community,Audio,8,Impactful,Where do we use this translation?,multi-capability-scored,100,1,impact-use,Multi-select capability — places of use. 'We don't use it' is exclusion.,
