item_id,option_order,option_text,option_code,score (0-100),weight,flag,notes
TR-Q1,1,"Yes, we have a documented brief that defines our translation type and goals",documented,100,,,
TR-Q1,2,"Yes, we have a shared understanding as a team of what we are aiming for, but it is not documented",shared-undocumented,67,,,
TR-Q1,3,We are still working on defining our translation type and goals,working-on,33,,,
TR-Q1,4,Other (please describe),other,,,missing,Treat as missing unless inferable.
TR-Q2,1,Corresponding — very close to the original Greek or Hebrew,corresponding,,,descriptive,
TR-Q2,2,Resembling — close to the original with some adjustments for clarity,resembling,,,descriptive,
TR-Q2,3,Clarifying — focused on understandability in natural language,clarifying,,,descriptive,
TR-Q2,4,"Simplifying — easy to understand, using contemporary everyday language",simplifying,,,descriptive,
TR-Q2,5,Other (please describe),other,,,descriptive,
TR-Q3,1,"We study the passage using multiple resources (commentaries, original languages, etc.) and discuss as a team",multi-resources,100,,,
TR-Q3,2,We study the passage using at least one reference resource,one-resource,67,,,
TR-Q3,3,We read the passage in a language we understand well and discuss it,language-discussion,33,,,
TR-Q3,4,We begin drafting based on our existing understanding,existing-understanding,0,,,
TR-Q3,5,Other (please describe),other,,,missing,
TR-Q4,1,Original language texts (Greek/Hebrew),original-lang,,3,,
TR-Q4,2,Interlinear texts,interlinear,,2,,
TR-Q4,3,Commentaries,commentaries,,2,,
TR-Q4,4,"Translation handbooks (e.g., UBS/SIL handbooks)",handbooks,,2,,
TR-Q4,5,Back translations from related languages,back-trans,,1,,
TR-Q4,6,National language translations,national-lang,,1,,
TR-Q4,7,Other translations in widely spoken languages,other-widespread,,1,,
TR-Q4,8,Other (please describe),other,,1,other,Counts at weight 1 — review qualitatively.
TR-Q5,1,The full team reviews every draft together,full-team,100,,,
TR-Q5,2,Every draft is checked by at least one other team member before moving forward,every-checked,75,,,
TR-Q5,3,The lead translator or translation supervisor reviews drafts,lead-reviews,50,,,
TR-Q5,4,Drafts are checked by another team member when there are questions or concerns,checked-when-questions,25,,,
TR-Q5,5,We move directly to external review without internal cross-checking,skip-internal,0,,,
TR-Q5,6,Other (please describe),other,,,missing,
TR-Q6,1,We have a structured process for regularly gathering feedback from a representative group of community members,structured-rep,100,,,
TR-Q6,2,We gather feedback from community members informally and occasionally,informal-occasional,33,,,
TR-Q6,3,We gather feedback from a few trusted community members,few-trusted,33,,,
TR-Q6,4,We share drafts publicly and welcome any feedback,public-share,33,,,
TR-Q6,5,We don't have a specific process for gathering community feedback,no-process,0,,,
TR-Q6,6,Other (please describe),other,,,missing,
TR-Q7,1,All feedback is documented and systematically reviewed by the team for each passage,documented-systematic,100,,,
TR-Q7,2,"Feedback is collected and reviewed, but not always systematically documented",collected-not-systematic,67,,,
TR-Q7,3,Feedback is discussed informally and applied when the team agrees,informal-applied,33,,,
TR-Q7,4,Feedback is sometimes collected but not consistently applied,inconsistent,0,,,
TR-Q7,5,Other (please describe),other,,,missing,
TR-Q8,1,Three or more rounds of revision,3-plus-rounds,100,,,
TR-Q8,2,Two rounds of revision,2-rounds,67,,,
TR-Q8,3,One round of revision,1-round,33,,,
TR-Q8,4,We do not have a standard number of revision rounds,no-standard,0,,,
TR-Q8,5,Other (please describe),other,,,missing,
TR-Q9,1,Very confident — we have strong exegetical support and discuss difficult passages thoroughly,very-confident,100,,,
TR-Q9,2,Mostly confident — we handle most passages well but occasionally struggle with difficult ones,mostly-confident,67,,,
TR-Q9,3,Somewhat confident — we often have questions about the meaning,somewhat-confident,33,,,
TR-Q9,4,Not very confident — we frequently need more help understanding the source,not-confident,0,,,
TR-Q9,5,Other (please describe),other,,,missing,
TR-Q10,1,We consult with a trained translation consultant or advisor,consult-trained,,4,,
TR-Q10,2,We research using commentaries and handbooks,research-resources,,3,,
TR-Q10,3,We discuss as a team and come to our best understanding,team-discuss,,2,,
TR-Q10,4,We look at how other translations handle it and follow their approach,follow-others,,1,,
TR-Q10,5,We leave it and hope to resolve it later,leave-it,,0,,Weight 0 — adds nothing to score but is not an exclusion.
TR-Q10,6,Other (please describe),other,,1,other,
TR-Q11,1,"Yes, someone who is not involved in drafting regularly reviews our work at key stages",regular-key-stages,100,,,
TR-Q11,2,"Yes, someone who is not involved in drafting occasionally reviews our work",occasional,67,,,
TR-Q11,3,We have had someone who is not involved in drafting review our work once or twice,once-twice,33,,,
TR-Q11,4,Our work has not been reviewed by someone outside the translation team,no-external,0,,,
TR-Q11,5,Other (please describe),other,,,missing,
TR-Q12,1,A trained translation consultant or advisor,trained-consultant,,3,,
TR-Q12,2,A linguist or language specialist,linguist,,2,,
TR-Q12,3,A church leader or pastor from outside our community,outside-pastor,,2,,
TR-Q12,4,A church leader or pastor who is part of our community,inside-pastor,,1,,
TR-Q12,5,A scholar or professor who is part of our community,inside-scholar,,1,,
TR-Q12,6,Other (please describe),other,,1,other,
TR-Q13,1,We use software that automatically flags inconsistencies in key terms and proper names,software-auto,100,,,
TR-Q13,2,We maintain a manual glossary or reference list that the team consults regularly,manual-glossary,75,,,
TR-Q13,3,We rely on team members to remember and apply consistent terms,memory,50,,,
TR-Q13,4,We address consistency issues when they are pointed out during review,reactive,25,,,
TR-Q13,5,We don't have a specific process for managing consistency,no-process,0,,,
TR-Q13,6,Other (please describe),other,,,missing,
TR-Q14,1,Paratext or similar Bible translation software,paratext,,3,,
